id,lnval,v_out_b,ber_y2k,lnC_raw_zero,lnL,ost,pcwork,ums03,mkost_vh,branche1,branche2,branche3,branche4,branche5,branche6,branche7,branche8,branche9,branche10,branche11,branche12,branche13,branche14
110,-999,0,0,-999,4.768044,1,50,8526.3711,-999,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111,4.177134,1,1,5.2441177,3.0908797,1,22,5172.7788,.69999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0
112,5.4002652,0,-999,10.499393,7.6445556,0,70,744208.19,.0099999998,0,0,0,0,0,0,0,0,0,0,1,0,0,0
113,-999,0,0,0,1.3314407,1,0,-999,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,1
114,3.9666865,1,1,4.0594378,3.2708287,1,20,1862.4341,.56,0,0,1,0,0,0,0,0,0,0,0,0,0,0
115,4.0674062,0,0,5.2255301,4.9694114,1,55,20084.828,.64999998,0,0,0,1,0,0,0,0,0,0,0,0,0,0
116,-999,0,1,-999,3.125267,0,25,-999,.30000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0
117,4.0683422,1,0,2.8754091,2.6890161,0,2,2298.1646,.029999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1
118,4.1365471,0,1,3.4925535,2.3170488,0,50,2371.0959,.34999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1
119,-999,1,1,4.8824558,1.4069911,1,0,-999,.77999997,0,0,0,0,0,0,0,0,1,0,0,0,0,0
120,-999,0,1,-999,7.0942044,0,10,-999,-999,0,0,0,0,0,0,1,0,0,0,0,0,0,0
121,5.3336549,0,1,6.5872293,5.2397738,0,60,50623.43,.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
122,3.7968695,1,1,-999,3.67851,0,100,2563.6384,.69999999,0,0,0,0,0,0,0,0,1,0,0,0,0,0
123,3.698488,0,0,4.2632017,5.0025167,0,16,3368.2175,.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
124,-999,0,0,7.6701884,5.4352274,0,40,42354.488,-999,0,0,0,0,0,0,1,0,0,0,0,0,0,0
125,4.4113851,1,0,6.0991974,3.9310477,0,20,10146.77,.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
126,4.4029002,0,0,4.9983993,2.9170754,1,33,1080.049,.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
